Codigo	year	tipo_concurso	edad
1870690	1987	REGULAR	79
1890346	1989	REGULAR	81
1820255	1982	REGULAR	64
1890782	1989	REGULAR	74
1870580	1987	REGULAR	63
1820247	1982	REGULAR	60
1830021	1983	REGULAR	63
1820089	1982	REGULAR	61
1841146	1984	REGULAR	61
1851185	1985	REGULAR	60
1851186	1985	REGULAR	62
1870472	1987	REGULAR	63
1841084	1984	REGULAR	56
1950692	1995	REGULAR	69
1841182	1984	REGULAR	59
1920285	1992	REGULAR	62
1870490	1987	REGULAR	61
1820423	1982	REGULAR	56
1911140	1991	REGULAR	61
1870034	1987	REGULAR	57
1870217	1987	REGULAR	46
1820488	1982	REGULAR	54
1820666	1982	REGULAR	42
1841151	1984	REGULAR	54
1970480	1997	REGULAR	67
1951053	1995	REGULAR	63
1820525	1982	REGULAR	48
1861169	1986	REGULAR	42
1831013	1983	REGULAR	55
1911326	1991	REGULAR	61
1841196	1984	REGULAR	47
1861480	1986	REGULAR	54
1851131	1985	REGULAR	56
1841217	1984	REGULAR	53
1990842	1999	REGULAR	65
1841043	1984	REGULAR	49
1831218	1983	REGULAR	52
1841138	1984	REGULAR	49
1830029	1983	REGULAR	50
1841177	1984	REGULAR	45
1820324	1982	REGULAR	48
1861427	1986	REGULAR	49
1831203	1983	REGULAR	48
1880564	1988	REGULAR	54
1920660	1992	REGULAR	58
1851055	1985	REGULAR	51
1890490	1989	REGULAR	58
1820093	1982	REGULAR	49
1971251	1997	REGULAR	61
1880185	1988	REGULAR	55
1911099	1991	REGULAR	52
1880643	1988	REGULAR	47
1870511	1987	REGULAR	44
1820308	1982	REGULAR	40
1851059	1985	REGULAR	50
1870224	1987	REGULAR	48
1820667	1982	REGULAR	45
1820662	1982	REGULAR	50
1820245	1982	REGULAR	46
1890120	1989	REGULAR	44
1831057	1983	REGULAR	40
1890495	1989	REGULAR	53
1831169	1983	REGULAR	44
1910366	1991	REGULAR	55
1831004	1983	REGULAR	44
1841184	1984	REGULAR	47
1000689	2000	REGULAR	63
1851132	1985	REGULAR	48
1890625	1989	REGULAR	52
1950774	1995	REGULAR	61
1841087	1984	REGULAR	47
1831116	1983	REGULAR	42
1820522	1982	REGULAR	44
1841169	1984	REGULAR	48
1841090	1984	REGULAR	47
1981047	1998	REGULAR	59
1861135	1986	REGULAR	45
1880886	1988	REGULAR	47
1090057	2009	REGULAR	66
1080447	2008	REGULAR	64
1831015	1983	REGULAR	41
1851053	1985	REGULAR	44
1831041	1983	REGULAR	44
1841134	1984	REGULAR	43
1890896	1989	REGULAR	42
1901111	1990	REGULAR	47
1880398	1988	REGULAR	46
1900652	1990	REGULAR	50
1880321	1988	REGULAR	47
1921066	1992	REGULAR	48
1930350	1993	REGULAR	50
1971098	1997	REGULAR	57
1960951	1996	REGULAR	56
1920293	1992	REGULAR	48
1890952	1989	REGULAR	48
1841168	1984	REGULAR	41
1911116	1991	REGULAR	44
1841215	1984	REGULAR	44
1870047	1987	REGULAR	41
1831299	1983	REGULAR	42
1841061	1984	REGULAR	43
1901035	1990	REGULAR	48
1050965	2005	REGULAR	60
1980209	1998	REGULAR	57
1960485	1996	REGULAR	46
1841243	1984	REGULAR	40
1870463	1987	REGULAR	45
1820278	1982	REGULAR	36
1831198	1983	REGULAR	37
1861002	1986	REGULAR	36
1851127	1985	REGULAR	41
1820634	1982	REGULAR	34
1911078	1991	REGULAR	46
1851114	1985	REGULAR	44
1901079	1990	REGULAR	47
1820514	1982	REGULAR	38
1880870	1988	REGULAR	42
1900769	1990	REGULAR	49
1960305	1996	REGULAR	50
1851070	1985	REGULAR	42
1931071	1993	REGULAR	50
1890577	1989	REGULAR	44
1950634	1995	REGULAR	53
1855084	1985	REGULAR	37
1861462	1986	REGULAR	44
1841042	1984	REGULAR	39
1890156	1989	REGULAR	46
1961171	1996	REGULAR	48
1870598	1987	REGULAR	41
1911047	1991	REGULAR	38
1870008	1987	REGULAR	43
1870174	1987	REGULAR	40
1870714	1987	REGULAR	42
1851072	1985	REGULAR	39
1911067	1991	REGULAR	44
1861079	1986	REGULAR	37
1901108	1990	REGULAR	43
1020257	2002	REGULAR	49
1930862	1993	REGULAR	47
1901006	1990	REGULAR	45
1831147	1983	REGULAR	39
1960058	1996	REGULAR	52
1841192	1984	REGULAR	38
1851082	1985	REGULAR	40
1820325	1982	REGULAR	36
1900186	1990	REGULAR	44
1970235	1997	REGULAR	51
